open,high,low,close,volume,sma_20,sma_50,ema_12,ema_26,macd_line,macd_signal,macd_hist,rsi_14,bb_upper,bb_middle,bb_lower,bb_pct_b
0.14361787961917055,0.1438802433902321,0.14249781277340334,0.14326632079550367,0.00828541893188258,0.14526824061318527,0.15871511765297697,0.1455160146299736,0.14909044555762285,0.5382611803042711,0.543106641112964,0.5779169104735205,0.4314335500853573,0.1363434059683863,0.14526824061318527,0.14866060954035923,0.48813638163250156
0.14458609004356948,0.14707070163157612,0.1468175853018373,0.1473735408560311,0.01271717478224803,0.14568179976471837,0.1584261618480069,0.14577119096025998,0.14921156757926252,0.5398315807998398,0.5435546320107866,0.5801672310697914,0.5032276581491906,0.13657124723526906,0.14568179976471837,0.14924751963727356,0.5687031113380487
0.14732935291269966,0.1481072640137849,0.14812992125984253,0.14867055771725035,0.01083595392444016,0.14596961457963667,0.1582214360752549,0.14619127763114292,0.14942400843287176,0.5422697432486724,0.5444352414520545,0.5833234667893827,0.5245324635117721,0.13693370399914429,0.14596961457963667,0.14942175153929912,0.5900696608565141
0.14910440535743097,0.14926498303807012,0.14971566054243218,0.1480220492866407,0.007458209982735506,0.1461484509694888,0.15800033224068266,0.14644465146464664,0.14957056751016815,0.5435324569151585,0.5454101827614738,0.5840116795723668,0.5120425246451894,0.1371687286706044,0.1461484509694888,0.14951874400022724,0.5718722985975823
0.14582324780807915,0.14560336007754024,0.13894356955380577,0.14029399048854302,0.01932144944417527,0.14596123162386235,0.15759673000297142,0.14544254229289688,0.14910870414281366,0.5372096521092358,0.5448358887170809,0.572708992630625,0.38286782642136824,0.1371738387906463,0.14596123162386235,0.14912868802926854,0.411804884823923
0.14152009036630625,0.1408109417909644,0.14091207349081364,0.14115866839602248,0.009040956361065618,0.14610933050920866,0.15723173319669348,0.14473071592133052,0.1487479134324597,0.5330874402281403,0.5434935393914373,0.5671055261356432,0.39941644517830593,0.1370572908751457,0.14610933050920866,0.14956648351953442,0.4250062344132728
0.1391533537733312,0.14070324699800763,0.14036526684164485,0.14105058365758755,0.012451073407837994,0.14632728735934097,0.15713697441044827,0.144111387279439,0.1484054903904454,0.5298225494207601,0.541720370767794,0.5639624170904168,0.3976925801489484,0.13680345375277891,0.14632728735934097,0.15030534643492713,0.4139407602692285
0.14033672206981873,0.1411340261698347,0.14206036745406825,0.14034803285776049,0.009731807571968789,0.1465480385280647,0.15693809794548913,0.1434767488383889,0.1480341078166915,0.5267081425004122,0.5396347780291352,0.5616830784758019,0.38589533855614494,0.13644969821109026,0.1465480385280647,0.15116472738103537,0.38631401559888434
0.14071324834597387,0.14102633137687792,0.14192913385826772,0.1412667531344574,0.012399304185962844,0.1465675987582048,0.15684918846703683,0.14308436624885157,0.14776127440366282,0.525270072821028,0.5376582915333727,0.562479080002499,0.4067080782782054,0.13643617830525023,0.1465675987582048,0.1512203975217344,0.4075127637412065
0.14307998493894897,0.14549566528458346,0.14359142607174102,0.14164504971897968,0.01728835170498297,0.14657039307679626,0.1568398295745681,0.14281189928084015,0.147537902366206,0.5246541127190271,0.5359451732004882,0.5644005233055484,0.41558424868900384,0.1364347729466354,0.14657039307679626,0.15122774607770292,0.4164954438827223
0.14044430100586303,0.14318022723601312,0.14277121609798776,0.14407695633376566,0.010081061407704617,0.14666539990890523,0.15686322680573989,0.1429641657533393,0.14751912171854642,0.5266183386449688,0.5349953853770686,0.5699695194947534,0.4717440010268124,0.13643783560513975,0.14666539990890523,0.15141918761758544,0.4724032764813595
0.14442472163950298,0.14474180173388615,0.1455599300087489,0.1462386511024643,0.012723185216279019,0.14687497380326323,0.15699308143874252,0.14343328701062424,0.14766888361926023,0.530327869342478,0.5350300792755257,0.5771519586734487,0.518119684772423,0.13651233026705276,0.14687497380326323,0.1517636684031088,0.5200467185776114
0.1456080899359905,0.14764956114371872,0.1477471566054243,0.1491569390402075,0.007457936269894419,0.1470649874674811,0.15722354416578338,0.14428961430130677,0.14803320642138523,0.536073237849219,0.5362884035532542,0.5860791439944381,0.5754174979469173,0.13678305161202306,0.1470649874674811,0.15184258982246368,0.5863140232354846
0.14867408961325373,0.14896882235743902,0.14955161854768156,0.15034587116299175,0.011355637122898742,0.1468693851660803,0.1573908343686608,0.145201353149651,0.14846247561338693,0.5417236870878251,0.5385053018938208,0.5930725698261367,0.5974594704852643,0.13614160913183043,0.1468693851660803,0.15217807585091148,0.6258159082579275
0.1494809316335861,0.15249582682677293,0.15179352580927385,0.15288586251621272,0.016990968327378588,0.14655642148383907,0.1576423546037562,0.14637265394809423,0.1490563499698754,0.548504497580309,0.5417311653993396,0.6004336317632499,0.6423829600121833,0.1345172643111912,0.14655642148383907,0.15340186409148987,0.7339029452843313
0.15114840514227312,0.1509342523288999,0.15004374453193353,0.14969736273238216,0.01548398416366492,0.14655642148383902,0.1577722092367589,0.14686184103968936,0.14935968533409155,0.5507125724165081,0.544784791715362,0.5991770486186604,0.5600619380322145,0.13451726431119115,0.14655642148383902,0.15340186409148981,0.637088213454881
